Is_Host,Num_Athletes,Female_Ratio,Num_Sports,Num_Events,Total_Events,Total_Discipline,Total_Sports,Year,NOC
0.0,0.4977204203605652,0.0,0.08412844687700272,0.013160081580281258,0.0,0.0,0.0,1896,Australia
0.0,1.4931612610816956,0.0,0.12619267031550407,0.021056130528450012,0.0,0.0,0.0,1896,Austria
0.0,1.4931612610816956,0.0,0.2103211171925068,0.03158419579267502,0.0,0.0,0.0,1896,Denmark
0.0,5.972645044326782,0.0,0.25238534063100815,0.04737629368901253,0.0,0.0,0.0,1896,France
0.0,9.456687986850739,0.0,0.25238534063100815,0.07106444053351879,0.0,0.0,0.0,1896,Germany
0.0,4.977204203605652,0.0,0.2944495640695095,0.05000831000506878,0.0,0.0,0.0,1896,Great Britain
0.45758339762687683,50.76748287677765,0.0,0.3785780109465122,0.10264863632619381,0.0,0.0,0.0,1896,Greece
0.0,3.4840429425239563,0.0,0.25238534063100815,0.03684822842478752,0.0,0.0,0.0,1896,Hungary
0.0,0.4977204203605652,0.0,0.04206422343850136,0.0026320163160562515,0.0,0.0,0.0,1896,Italy
0.0,0.4977204203605652,0.0,0.08412844687700272,0.013160081580281258,0.0,0.0,0.0,1896,Sweden
0.0,1.4931612610816956,0.0,0.08412844687700272,0.013160081580281258,0.0,0.0,0.0,1896,Switzerland
0.0,6.968085885047913,0.0,0.12619267031550407,0.042112261056900024,0.0,0.0,0.0,1896,United States
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,0.7641289830207825,0.0,0.0,0.0,1900,Argentina
0.0,0.05127542093396187,0.005988768767565489,0.009280526079237461,4.584773898124695,0.0,0.0,0.0,1900,Australia
0.0,0.41020336747169495,0.005988768767565489,0.018561052158474922,12.990192711353302,0.0,0.0,0.0,1900,Austria
0.0,1.6408134698867798,0.005988768767565489,0.046402630396187305,23.687998473644257,0.0,0.0,0.0,1900,Belgium
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,2.2923869490623474,0.0,0.0,0.0,1900,Brazil
0.0,0.10255084186792374,0.005988768767565489,0.0046402630396187305,3.8206449151039124,0.0,0.0,0.0,1900,Canada
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,0.7641289830207825,0.0,0.0,0.0,1900,Colombia
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,1.528257966041565,0.0,0.0,0.0,1900,Cuba
0.0,0.17946397326886654,0.004657931263662047,0.018561052158474922,6.877160847187042,0.0,0.0,0.0,1900,Czech Republic
0.0,0.33329023607075214,0.005988768767565489,0.023201315198093653,10.697805762290955,0.0,0.0,0.0,1900,Denmark
0.19960422813892365,18.330962983891368,0.0058993007000761825,0.08816499775275588,61.89444762468338,0.0,0.0,0.0,1900,France
0.0,1.948465995490551,0.005988768767565489,0.046402630396187305,20.631482541561127,0.0,0.0,0.0,1900,Germany
0.0,2.666321888566017,0.005906730839242673,0.07424420863389969,29.801030337810516,0.0,0.0,0.0,1900,Great Britain
0.0,0.0769131314009428,0.005988768767565489,0.009280526079237461,2.2923869490623474,0.0,0.0,0.0,1900,Greece
0.0,0.0769131314009428,0.005988768767565489,0.009280526079237461,3.05651593208313,0.0,0.0,0.0,1900,Haiti
0.0,0.4614787884056568,0.005988768767565489,0.018561052158474922,16.046708643436432,0.0,0.0,0.0,1900,Hungary
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,3.8206449151039124,0.0,0.0,0.0,1900,India
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,0.7641289830207825,0.0,0.0,0.0,1900,Iran
0.0,0.5896673407405615,0.005822414079577559,0.027841578237712383,12.990192711353302,0.0,0.0,0.0,1900,Italy
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,0.7641289830207825,0.0,0.0,0.0,1900,Luxembourg
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,0.7641289830207825,0.0,0.0,0.0,1900,Mexico
0.0,0.8973198663443327,0.005988768767565489,0.032481841277331114,13.754321694374084,0.0,0.0,0.0,1900,Netherlands
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,0.7641289830207825,0.0,0.0,0.0,1900,New Zealand
0.0,0.17946397326886654,0.005988768767565489,0.009280526079237461,6.877160847187042,0.0,0.0,0.0,1900,Norway
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,1.528257966041565,0.0,0.0,0.0,1900,Peru
0.0,0.025637710466980934,0.005988768767565489,0.0046402630396187305,0.7641289830207825,0.0,0.0,0.0,1900,Romania
0.0,0.10255084186792374,0.005988768767565489,0.009280526079237461,2.2923869490623474,0.0,0.0,0.0,1900,Russia
0.0,0.2307393942028284,0.005988768767565489,0.018561052158474922,5.348902881145477,0.0,0.0,0.0,1900,Spain
0.0,0.25637710466980934,0.005988768767565489,0.018561052158474922,12.22606372833252,0.0,0.0,0.0,1900,Sweden
0.0,0.4614787884056568,0.005643262877129018,0.018561052158474922,10.697805762290955,0.0,0.0,0.0,1900,Switzerland
0.0,1.92282828502357,0.005589517516394456,0.046402630396187305,31.32928830385208,0.0,0.0,0.0,1900,United States
0.0,0.0001787127403076738,0.0,0.016817741096019745,0.0010367791692260653,0.0,0.0,0.0,1904,Australia
0.0,0.0001787127403076738,0.0,0.016817741096019745,0.0012095756974304095,0.0,0.0,0.0,1904,Austria
0.0,0.00491460035846103,0.0,0.050453223288059235,0.002591947923065163,0.0,0.0,0.0,1904,Canada
0.0,0.0002680691104615107,0.0,0.016817741096019745,0.0008639826410217211,0.0,0.0,0.0,1904,Cuba
